surah,ayah,verse
Al-Baqarah,2,"This is the Book about which there is no doubt, a guidance for those conscious of Allah."
Al-Baqarah,3,"Who believe in the unseen, establish prayer, and spend out of what We have provided for them."
Al-Baqarah,45,"And seek help through patience and prayer, and indeed, it is difficult except for the humbly submissive [to Allah]."
Al-Baqarah,153,"O you who have believed, seek help through patience and prayer. Indeed, Allah is with the patient."
Al-Baqarah,177,"Righteousness is not turning your faces toward the east or the west, but [true] righteousness is in one who believes in Allah..."
Al-Baqarah,267,"O you who have believed, spend from the good things which you have earned and from that which We have produced for you from the earth."
Al-Imran,103,And hold firmly to the rope of Allah all together and do not become divided.
An-Nisa,36,"Worship Allah and associate nothing with Him, and to parents do good, and to relatives, orphans, the needy..."
Al-Ma'idah,8,"O you who have believed, be persistently standing firm for Allah, witnesses in justice..."
Al-An'am,151,"Come, I will recite what your Lord has prohibited to you. [He commands] that you not associate anything with Him..."
Al-A'raf,199,"Take what is given freely, enjoin what is good, and turn away from the ignorant."
At-Tawbah,60,Zakah expenditures are only for the poor and for the needy and for those employed to collect [zakah]...
Yunus,57,"O mankind, there has come to you instruction from your Lord and healing for what is in the breasts and guidance and mercy for the believers."
An-Nahl,90,"Indeed, Allah orders justice and good conduct and giving to relatives and forbids immorality, bad conduct, and oppression."
Al-Isra,23,"Your Lord has decreed that you not worship except Him, and to parents, good treatment."
Al-Kahf,110,"Say, I am only a man like you, to whom has been revealed that your god is one God."
Taha,14,"Indeed, I am Allah. There is no deity except Me, so worship Me and establish prayer for My remembrance."
Al-Hujurat,13,"O mankind, We have created you from male and female and made you peoples and tribes that you may know one another."
Ar-Rahman,13,So which of the favors of your Lord would you deny?
Al-Hashr,18,"O you who have believed, fear Allah. And let every soul look to what it has put forth for tomorrow."
Al-Mumtahanah,8,Allah does not forbid you from those who do not fight you because of religion and do not expel you from your homes...
Al-Ikhlas,1,"Say, He is Allah, [who is] One."
Al-Falaq,1,"Say, I seek refuge in the Lord of daybreak."
An-Nas,1,"Say, I seek refuge in the Lord of mankind."
